;FUN_10001010;0x10001010;0xa;__stdcall;;uchar
;FUN_10001020;0x10001020;0xc;__stdcall;;uchar
;FUN_10001050;0x10001050;0xa;__stdcall;;uchar
;FUN_10001060;0x10001060;0xc;__stdcall;;uchar
??0cMagInput@@QAE@XZ;cMagInput::cMagInput;0x10001080;0x12;__thiscall;;uchar;cMagInput*
??4cMagInput@@QAEAAV0@ABV0@@Z;cMagInput::operator=;0x100010a0;0x16;__thiscall;;cMagInput*;cMagInput*;cMagInput*
?MagGetCurrentTime@cMagTime@@QAEAAMXZ;cMagTime::MagGetCurrentTime;0x100010c0;0x4;__thiscall;;float*;cMagTime*
?MagGetFrameTime@cMagTime@@QAEAAMXZ;cMagTime::MagGetFrameTime;0x100010d0;0x4;__thiscall;;float*;cMagTime*
??0cMagTime@@QAE@ABV0@@Z;cMagTime::cMagTime;0x100010e0;0x4b;__thiscall;;uchar;cMagTime*;cMagTime*
??4cMagTime@@QAEAAV0@ABV0@@Z;cMagTime::operator=;0x10001130;0x45;__thiscall;;cMagTime*;cMagTime*;cMagTime*
;cMagTime::scalar_destructor;0x10001180;0x54;__thiscall;;cMagTime*;cMagTime*;uchar
?GetStatusRemoveObject@cMagKernel@@UAE_NXZ;cMagKernel::GetStatusRemoveObject;0x100011e0;0x7;__thiscall;;bool;cMagKernel*
?RemoveObject@cMagKernel@@UAEX_N@Z;cMagKernel::RemoveObject;0x100011f0;0xd;__thiscall;;void;cMagKernel*;bool
??0cMagKernel@@QAE@ABV0@@Z;cMagKernel::cMagKernel;0x10001200;0x11f;__thiscall;;uchar;cMagKernel*;cMagKernel*
??4cMagKernel@@QAEAAV0@ABV0@@Z;CState::operator=;0x10001320;0x132;__thiscall;;CState*;CState*;CState*
??_EcMagKernel@@UAEPAXI@Z;cMagKernel::vector_destructor;0x10001460;0x57;__thiscall;;cMagKernel*;cMagKernel*;uchar
?begin@cMagObjectList@@QAEPAPAVcMagKernel@@XZ;cMagObjectList::begin;0x100014c0;0x7;__thiscall;;std::vector<cMagKernel*>::iterator;cMagObjectList*
?end@cMagObjectList@@QAEPAPAVcMagKernel@@XZ;cMagObjectList::end;0x100014d0;0x7;__thiscall;;std::vector<cMagKernel*>::iterator;cMagObjectList*
??0cMagObjectList@@QAE@ABV0@@Z;cMagObjectList::cMagObjectList;0x100014e0;0x48f;__thiscall;;cMagObjectList*;cMagObjectList*;cMagObjectList*
??4cMagObjectList@@QAEAAV0@ABV0@@Z;cMagObjectList::operator=;0x10001970;0x3a3;__thiscall;;cMagObjectList*;cMagObjectList*;cMagObjectList*
??_EcMagObjectList@@UAEPAXI@Z;cMagObjectList::vector_destructor;0x10001d20;0x57;__thiscall;;cMagObjectList*;cMagObjectList*;uchar
?Restore@MagGrid@@QAEJXZ;MagGrid::Restore;0x10001d80;0x5;__thiscall;;long;MagGrid*
?Invalidate@MagGrid@@QAEJXZ;MagGrid::Invalidate;0x10001d90;0x2f;__thiscall;;long;MagGrid*
??0MagGrid@@QAE@ABV0@@Z;MagGrid::MagGrid;0x10001dc0;0x51;__thiscall;;uchar;MagGrid*;MagGrid*
??4MagGrid@@QAEAAV0@ABV0@@Z;MagGrid::operator=;0x10001e20;0x4b;__thiscall;;MagGrid*;MagGrid*;MagGrid*
;MagGrid::scalar_destructor;0x10001e70;0x54;__thiscall;;MagGrid*;MagGrid*;uchar
??0cMagAudio@@QAE@ABV0@@Z;cMagAudio::cMagAudio;0x10001ed0;0x27;__thiscall;;uchar;cMagAudio*;cMagAudio*
??4cMagAudio@@QAEAAV0@ABV0@@Z;cMagAudio::operator=;0x10001f00;0x21;__thiscall;;cMagAudio*;cMagAudio*;cMagAudio*
;cMagAudio::scalar_destructor;0x10001f30;0x54;__thiscall;;cMagAudio*;cMagAudio*;uchar
??0cMagSound@@QAE@ABV0@@Z;cMagSound::cMagSound;0x10001f90;0x69;__thiscall;;uchar;cMagSound*;cMagSound*
??4cMagSound@@QAEAAV0@ABV0@@Z;cMagSound::operator=;0x10002000;0x63;__thiscall;;cMagSound*;cMagSound*;cMagSound*
;cMagSound::scalar_destructor;0x10002070;0x57;__thiscall;;cMagSound*;cMagSound*;uchar
??4CMusicManager@@QAEAAV0@ABV0@@Z;CMusicManager::operator=;0x100020d0;0x1d;__thiscall;;uchar;CMusicManager*;uchar
??0CMusicSegment@@QAE@ABV0@@Z;CMusicSegment::CMusicSegment;0x100020f0;0x2d;__thiscall;;uchar;CMusicSegment*;CMusicSegment*
??4CMusicSegment@@QAEAAV0@ABV0@@Z;CMusicSegment::operator=;0x10002120;0x27;__thiscall;;CMusicSegment*;CMusicSegment*;CMusicSegment*
;CMusicSegment::scalar_destructor;0x10002150;0x54;__thiscall;;CMusicSegment*;CMusicSegment*;uchar
??0CMusicScript@@QAE@ABV0@@Z;CMusicScript::CMusicScript;0x100021b0;0x21;__thiscall;;uchar;CMusicScript*;CMusicScript*
??4CMusicScript@@QAEAAV0@ABV0@@Z;CMusicScript::operator=;0x100021e0;0x1b;__thiscall;;CMusicScript*;CMusicScript*;CMusicScript*
;CMusicScript::scalar_destructor;0x10002200;0x54;__thiscall;;CMusicScript*;CMusicScript*;uchar
?SetLevelDirectory@cMagGameObject@@QAEXPAD@Z;cMagGameObject::SetLevelDirectory;0x10002260;0x40;__thiscall;;void;cMagGameObject*;char*
?GetViewMatrix@cMagGameObject@@QAEAAUD3DXMATRIX@@XZ;cMagGameObject::GetViewMatrix;0x100022a0;0x7;__thiscall;;D3DXMATRIX*;cMagGameObject*
?GetProjMatrix@cMagGameObject@@QAEAAUD3DXMATRIX@@XZ;cMagGameObject::GetProjMatrix;0x100022b0;0x7;__thiscall;;D3DXMATRIX*;cMagGameObject*
?GetStatusRemoveObject@cMagGameObject@@UAE_NXZ;cMagGameObject::GetStatusRemoveObject;0x100022c0;0x7;__thiscall;;bool;cMagGameObject*
